,video_filename,scenario_id,scenario_name,difficulty,planet,angle_deg,altitude_m,g_mps2,drag,diameter_m,cd,v0_mps,mass_kg,Observation,Q_conceptual,A_conceptual,Q_numerical,A_numerical,Q_error_detection,A_error_detection
10,projectile_scenario_id_EXP10-E5_difficulty_hard_.mp4,EXP10-E5,Earth 45° at 700 m,hard,Earth,45,700,9.8,ON,0.5,0.47,15,1,Noticeably longer range than sea level at same angle.,Does thinner air make the motion more ‘vacuum-like’ at this angle?,Yes—reduced drag makes the trajectory closer to the ideal parabola and increases range.,"If v0=15 m/s, what’s the ratio of **vacuum** ranges Earth vs Saturn at 45° (same v0)?",R∝1/g ⇒ R_Sat/R_Earth = g_E/g_S ≈ 9.80/10.44 ≈ 0.939.,"If the video showed **shorter** range than sea level at the same angle and v0, what error is likely?",Using a **higher** air density or drag coefficient by mistake for the altitude case.
11,projectile_scenario_id_EXP10-E3_difficulty_hard_.mp4,EXP10-E3,Earth 60° sea level,hard,Earth,60,0,9.8,ON,0.5,0.47,15,1,Tall arc; strong drag; shorter horizontal distance.,"Which loses more to drag, 60° or 30° at equal v0? Why?","60°: more time aloft → more integrated drag impulse, despite lower horizontal speed.","At fixed v0, compare **vacuum** ranges at 60° Earth vs 60° Uranus.",R∝1/g ⇒ ratio R_U/R_E ≈ 9.80/8.87 ≈ 1.105 (Uranus longer).,"If someone says 60° always has the same range as 30° even with drag, is that right?",No—equality holds only in vacuum; drag breaks the sin(2θ) symmetry.
12,projectile_scenario_id_EXP10-E6_difficulty_hard_.mp4,EXP10-E6,Earth 60° at 700 m,hard,Earth,60,700,9.8,ON,0.5,0.47,15,1,Still steep but noticeably longer range than at sea level.,Why is altitude gain particularly helpful at steep angles?,Less vertical drag during long airtime reduces vertical and horizontal slowing.,"Using ρ(700 m)≈0.59ρ₀, estimate qualitative change to max height compared with sea level.",Lower drag means less vertical deceleration → higher apex (closer to vacuum value).,A student argues g is smaller at 7 km so the range is larger. Is that the cause?,No—g change is negligible; the dominant effect is reduced air density (drag).
13,projectile_scenario_id_EXP10-S1_difficulty_hard_.mp4,EXP10-S1,Saturn 30° sea level equivalent,hard,Saturn,30,0,10.44,ON,0.5,0.47,15,1,Similar shape but slightly shorter range than Earth due to stronger g (and different atmosphere).,How does stronger g affect time aloft and range (qualitatively)?,Stronger g reduces both airtime and range for the same v0 and angle.,"At fixed v0, compute **vacuum** range ratio 30°: Saturn/Earth.",R∝1/g ⇒ R_S/R_E ≈ 9.80/10.44 ≈ 0.939.,"If someone attributes the shorter range only to ‘thicker air’ but you held ρ the same, is that correct?",No—shorter range already follows from larger g; atmosphere may add further loss but isn’t required.
14,projectile_scenario_id_EXP10-S4_difficulty_hard_.mp4,EXP10-S4,Saturn 30° at 700 m,hard,Saturn,30,700,10.44,ON,0.5,0.47,15,1,Range increases compared with Saturn at 0 m due to thinner air.,"If g is unchanged, why does range still grow with altitude?",Drag reduction (lower ρ) increases effective range.,"At a fixed v0, what’s the **vacuum** ratio of ranges Earth vs Saturn at 30°?",R_E/R_S = g_S/g_E ≈ 10.44/9.80 ≈ 1.065.,A student says 30° at high altitude should **reduce** range because there’s less lift. Is that a relevant concept here?,No—there’s no aerodynamic lift modeled; reduced drag **increases** range.
15,projectile_scenario_id_EXP10-S2_difficulty_hard_.mp4,EXP10-S2,Saturn 45° sea level equivalent,hard,Saturn,45,0,10.44,ON,0.5,0.47,15,1,Parabola compressed by stronger gravity; drag further shortens.,Is 45° still vacuum-optimal on Saturn?,Yes; vacuum optimal angle is independent of g.,"Assuming v0=15 m/s, compute **vacuum** range on Saturn at 45°.",R ≈ 225/10.44 ≈ 21.56 m (upper bound).,"If someone claims Saturn 45° should match Earth 45° because both are 45°, is that right?",No—vacuum range scales with 1/g; Saturn’s larger g yields a shorter vacuum range.
16,projectile_scenario_id_EXP10-S_difficulty_hard_.mp4,EXP10-S,Saturn 45° at 700,hard,Saturn,45,700,10.44,ON,0.5,0.47,15,1,Parabola compressed by stronger gravity; drag further shortens.,"With drag enabled on Saturn at 700 m altitude, is 45° still the optimal launch angle for maximum range? Explain qualitatively how drag and gravity shift the optimum compared to the vacuum case.","No. With aerodynamic drag, the optimal angle typically drops below 45°. Drag penalizes long time aloft, so slightly shallower angles (≈35–42°, depending on density, size, and speed) often travel farther. At 700 m the air is thinner and the projectile is relatively heavy (15 kg), so 45° may be near-optimal but is not strictly optimal.","Using θ=45°, g_Saturn=10.44 m/s², and initial speed v0=10.44 m/s (drag ignored for this baseline), compute the ideal time of flight T and range R.","T = 2 v0 sinθ / g, R = v0² sin(2θ) / g. With sin45° = √2/2 and sin(90°)=1: T = 2·10.44·(√2/2)/10.44 = 1.414 s; R = 10.44² / 10.44 = 10.44 m.","The video analysis reports ≈10.44 m range while drag is enabled. Identify the simplification and predict the direction of error. Estimate the initial drag using ρ=1.0 kg/m³, C_d=0.47, diameter d=0.50 m (area A=π(d/2)²), v0=10.44 m/s, and compare it to weight.","They implicitly used the vacuum formula while drag was ON. Initial drag F_d = ½ρC_dAv0² with A=π(0.25)²≈0.1963 m² gives F_d≈0.5·1.0·0.47·0.1963·(10.44)²≈5.03 N. Weight mg=15·10.44≈156.6 N. Although F_d < mg, it causes horizontal deceleration ≈5.03/15≈0.34 m/s² and reduces range, so the vacuum value overestimates the true distance."
17,projectile_scenario_id_EXP10-S3_difficulty_hard_.mp4,EXP10-S3,Saturn 60° sea level equivalent,hard,Saturn,60,0,10.44,ON,0.5,0.47,15,1,"High arc, shortened by stronger gravity; drag large due to long airtime.",Why do high-angle shots pay a bigger drag penalty?,More time aloft → more total drag impulse and vertical slowdown.,Compare **vacuum** ranges Saturn 60° vs Earth 60° at same v0.,R_S/R_E ≈ 9.80/10.44 ≈ 0.939 (shorter on Saturn).,"If the video showed longer range on Saturn than Earth at equal v0 with drag disabled, what’s wrong?",Likely the Saturn g value was set too low (or mislabeled planet).
18,projectile_scenario_id_EXP10-S6_difficulty_hard_.mp4,EXP10-S6,Saturn 60° at 700 m,hard,Saturn,60,700,10.44,ON,0.5,0.47,15,1,Steep arc; thinner air increases range vs Saturn sea level.,What altitude effect dominates here?,Lower ρ decreases drag; gravity is essentially unchanged.,"At fixed v0, what constant-g **vacuum** quantity sets the equality of ranges at 30° and 60°?",sin(2θ); sin60° = sin120° ⇒ equal in vacuum.,An error claim: altitude changed g significantly. Is that plausible?,No—planetary g change over 7 km is negligible relative to drag changes.
19,projectile_scenario_id_EXP10-U1_difficulty_hard_.mp4,EXP10-U1,Uranus 30° sea level equivalent,hard,Uranus,30,0,8.87,ON,0.5,0.47,15,1,"Longer vacuum range potential than Earth (smaller g), but drag also matters.","At fixed v0, which planet gives longest **vacuum** range, Earth or Uranus?",Uranus (g≈8.87 < 9.80).,Compute **vacuum** range ratio Uranus/Earth at 30°.,R_U/R_E ≈ 9.80/8.87 ≈ 1.105.,"If this clip had *shorter* range than Earth even with the same drag model, could that be correct?","Yes, if drag/air model differs; otherwise with equal drag Uranus should have longer vacuum range."
20,projectile_scenario_id_EXP10-U4_difficulty_hard_.mp4,EXP10-U4,Uranus 30° at 700 m,hard,Uranus,30,700,8.87,ON,0.5,0.47,15,1,Thinner air increases range further vs U0 m.,Does altitude move results closer to vacuum behavior?,Yes—less drag → closer to ideal parabola and longer range.,Estimate the drag-force ratio using ρ(700)/ρ₀≈0.59.,~0.59 (∼41% reduction).,"If a comparison showed **less** range at altitude than at sea level (same v0, θ), what’s the likely mistake?",Wrong density or Cd entered for the altitude case.
21,projectile_scenario_id_EXP10-U2_difficulty_hard_.mp4,EXP10-U2,Uranus 45° sea level equivalent,hard,Uranus,45,0,8.87,ON,0.5,0.47,15,1,Symmetric arc; longest **vacuum** range at this angle for given v0.,Is the vacuum-optimal launch angle planet-dependent?,No—still 45° for equal launch/landing heights.,"If v0=15 m/s, give the **vacuum** range on Uranus at 45°.",R ≈ 225/8.87 ≈ 25.36 m.,Someone argues the longer Uranus range proves v0 is larger. Is that necessary?,No—smaller g alone (with same v0) produces a longer vacuum range.
22,projectile_scenario_id_EXP10-U5_difficulty_hard_.mp4,EXP10-U5,Uranus 45° at 700 m,hard,Uranus,45,700,8.87,ON,0.5,0.47,15,1,Longest of the Uranus cases because of low g and reduced drag.,Why doesn’t 45° remain exactly optimal with drag?,Drag skews the optimum toward a slightly lower angle.,"At fixed v0, what’s Earth/Uranus **vacuum** range ratio at 45°?",R_E/R_U ≈ g_U/g_E ≈ 8.87/9.80 ≈ 0.905.,"If this ranged *less* than Uranus 30° at altitude, would that contradict physics?","Not necessarily—drag alters optimum angle; with strong drag, a lower angle can outperform."
23,projectile_scenario_id_EXP10-U3_difficulty_hard_.mp4,EXP10-U3,Uranus 60° sea level equivalent,hard,Uranus,60,0,8.87,ON,0.5,0.47,15,1,"Tall arc; vacuum range equals 30°, but drag penalty is larger.",Why are 60° shots more sensitive to density than 30° at same v0?,More airtime → more total drag; vertical speed reversals incur extra losses.,"At fixed v0, compare **vacuum** ranges 60° Uranus vs 60° Earth.",R_U/R_E ≈ 9.80/8.87 ≈ 1.105.,"If this out-ranges Uranus 45° in the same air and v0, what’s the likely issue?",Angle or parameter mis-set; in vacuum 45° should be maximal.
24,projectile_scenario_id_EXP10-U6_difficulty_hard_.mp4,EXP10-U6,Uranus 60° at 700 m,hard,Uranus,60,700,8.87,ON,0.5,0.47,15,1,Very high arc; increased range vs sea level thanks to lower ρ.,Does lowering ρ change g or θ for maximum in vacuum?,No—ρ affects drag only; vacuum optimum is unchanged (45°).,"With ρ reduced to ≈0.59ρ₀, what qualitative change occurs to apex and range?","Both increase, approaching vacuum values.","If someone attributes the change primarily to a different g, is that reasonable?",No—the g change with 7 km altitude is negligible; density is the driver.
